'Merredin',"{absis:118.2666723, ordinat:-31.48284707}",2054
'Mount Barker',"{absis:117.6666056, ordinat:-34.632784}",1771
'Katanning',"{absis:117.5500752, ordinat:-33.69955931}",3140
'Narrogin',"{absis:117.1666361, ordinat:-32.93288776}",3995
'Gingin',"{absis:115.9000468, ordinat:-31.34957355}",1446
'Bunbury',"{absis:115.6502429, ordinat:-33.34428384}",26683
'Kwinana',"{absis:115.7702356, ordinat:-32.23939004}",18817
'Southern Cross',"{absis:119.3166857, ordinat:-31.216145}",187
'Kaltukatjara',"{absis:128.9973352, ordinat:-25.78841429}",355
'Queanbeyan',"{absis:149.2113468, ordinat:-35.3546004}",32408
'Tweed Heads',"{absis:153.5466377, ordinat:-28.1825834}",33065
'Ivanhoe',"{absis:144.3000187, ordinat:-32.89960814}",265
'Wilcannia',"{absis:143.3833304, ordinat:-31.56620115}",442
'Merimbula',"{absis:149.9000386, ordinat:-36.89962238}",3607
'Echuca',"{absis:144.750017, ordinat:-36.12959186}",13460
'Deniliquin',"{absis:144.9500048, ordinat:-35.5295768}",6019
